time	state	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	N_full_medical_exempt	pct_full_medical_exempt	N_partial_medical_exempt_utd	pct_partial_medical_exempt_utd	N_full_religious_exempt	pct_full_religious_exempt	N_partial_religious_exempt_utd	pct_partial_religious_exempt_utd
2021-01-27	Alabama	01001	Autauga	Kindergarten	NA	NA	NA	NA	NA	14.00	0.00	14.00	NA	NA	NA	NA	NA	1.88	0.00	1.88	0.00	0.00	0.00	0.00	14.00	1.88	0.00	0.00
2021-01-27	Alabama	01003	Baldwin	Kindergarten	NA	NA	NA	NA	NA	73.00	1.00	73.00	NA	NA	NA	NA	NA	2.79	0.04	2.79	1.00	0.04	1.00	0.04	73.00	2.79	0.00	0.00
2021-01-27	Alabama	01005	Barbour	Kindergarten	NA	NA	NA	NA	NA	18.00	1.00	18.00	NA	NA	NA	NA	NA	3.70	0.21	3.70	1.00	0.21	1.00	0.21	18.00	3.70	0.00	0.00
2021-01-27	Alabama	01007	Bibb	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.40	0.00	0.40	0.00	0.00	0.00	0.00	1.00	0.40	0.00	0.00
2021-01-27	Alabama	01009	Blount	Kindergarten	NA	NA	NA	NA	NA	13.00	1.00	13.00	NA	NA	NA	NA	NA	1.68	0.13	1.68	1.00	0.13	0.00	0.00	13.00	1.68	0.00	0.00
2021-01-27	Alabama	01011	Bullock	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01013	Butler	Kindergarten	NA	NA	NA	NA	NA	3.00	0.00	3.00	NA	NA	NA	NA	NA	1.19	0.00	1.19	0.00	0.00	0.00	0.00	3.00	1.19	0.00	0.00
2021-01-27	Alabama	01015	Calhoun	Kindergarten	NA	NA	NA	NA	NA	17.00	2.00	17.00	NA	NA	NA	NA	NA	1.30	0.15	1.30	2.00	0.15	0.00	0.00	17.00	1.30	1.00	0.08
2021-01-27	Alabama	01017	Chambers	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.28	0.00	0.28	0.00	0.00	0.00	0.00	1.00	0.28	0.00	0.00
2021-01-27	Alabama	01019	Cherokee	Kindergarten	NA	NA	NA	NA	NA	4.00	0.00	4.00	NA	NA	NA	NA	NA	1.35	0.00	1.35	0.00	0.00	0.00	0.00	4.00	1.35	0.00	0.00
2021-01-27	Alabama	01021	Chilton	Kindergarten	NA	NA	NA	NA	NA	3.00	0.00	3.00	NA	NA	NA	NA	NA	0.62	0.00	0.62	0.00	0.00	0.00	0.00	3.00	0.62	0.00	0.00
2021-01-27	Alabama	01023	Choctaw	Kindergarten	NA	NA	NA	NA	NA	2.00	0.00	2.00	NA	NA	NA	NA	NA	1.53	0.00	1.53	0.00	0.00	0.00	0.00	2.00	1.53	0.00	0.00
2021-01-27	Alabama	01025	Clarke	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.34	0.00	0.34	0.00	0.00	0.00	0.00	1.00	0.34	0.00	0.00
2021-01-27	Alabama	01027	Clay	Kindergarten	NA	NA	NA	NA	NA	4.00	0.00	4.00	NA	NA	NA	NA	NA	2.15	0.00	2.15	0.00	0.00	0.00	0.00	4.00	2.15	0.00	0.00
2021-01-27	Alabama	01029	Cleburne	Kindergarten	NA	NA	NA	NA	NA	3.00	0.00	3.00	NA	NA	NA	NA	NA	1.61	0.00	1.61	0.00	0.00	0.00	0.00	3.00	1.61	0.00	0.00
2021-01-27	Alabama	01031	Coffee	Kindergarten	NA	NA	NA	NA	NA	10.00	2.00	10.00	NA	NA	NA	NA	NA	1.38	0.28	1.38	2.00	0.28	0.00	0.00	10.00	1.38	0.00	0.00
2021-01-27	Alabama	01033	Colbert	Kindergarten	NA	NA	NA	NA	NA	3.00	0.00	3.00	NA	NA	NA	NA	NA	0.55	0.00	0.55	0.00	0.00	0.00	0.00	3.00	0.55	0.00	0.00
