"NM Student Vaccine Exemptions by County, Age ≤18 , Calendar Year 2021",,,,
County,"Number of
exemptions,
by county,
age ≤18","Population,
by county,
age ≤18","Number of exemptions
per 1,000 children,
by county,
age ≤18","Percent of students with
vaccine exemptions,
by county,
age ≤18"
Bernalillo,1622,"153,608",10.6,1.10%
Catron*,3,445,6.7,0.70%
Chaves,110,"17,712",6.2,0.60%
Cibola,23,"6,554",3.5,0.40%
Colfax,36,"2,242",16.1,1.60%
Curry,137,"13,736",10,1.00%
De Baca*,4,434,9.2,0.90%
Dona Ana,251,"56,702",4.4,0.40%
Eddy,127,"16,203",7.8,0.80%
Grant,64,"5,750",11.1,1.10%
Guadalupe*,9,965,9.3,0.90%
Harding*,1,77,13,1.30%
Hidalgo*,51,1002,50.9,5.10%
Lea,129,"22,367",5.8,0.60%
Lincoln,59,"3,832",15.4,1.50%
Los Alamos,91,"4,367",20.8,2.10%
Luna,16,"6,703",2.4,0.20%
McKinley,4,"20,916",0.2,0.00%
Mora*,7,862,8.1,0.80%
Otero,94,"16,221",5.8,0.60%
Quay*,15,"1,890",7.9,0.80%
Rio Arriba,64,"9,439",6.8,0.70%
Roosevelt,71,"5,244",13.5,1.40%
Sandoval,31,"35,358",0.9,0.10%
San Juan,324,"34,663",9.3,0.90%
San Miguel,48,"5,361",9,0.90%
Santa Fe,684,"27,864",24.5,2.50%
Sierra*,12,"1,819",6.6,0.70%
Socorro,27,"4,122",6.6,0.70%
Taos,191,"5,961",32,3.20%
Torrance,21,"3,411",6.2,0.60%
Union*,10,810,12.3,1.20%
Valencia,126,"18,536",6.8,0.70%
Total,4462,"505,176",8.8,0.90%
* Small numbers may result in unstable rates,,,,
