"NM Student Vaccine Exemptions by County, Age ≤18 , Calendar Year 2024",,,,
County,"Number of
exemptions,
by county,
age ≤18","Population,
by county,
age ≤18","Number of exemptions
per 1,000 children,
by county,
age ≤18","Percent of students with
vaccine exemptions,
by county,
age ≤18"
Bernalillo,1743,"149,683",11.6,1.20%
Catron*,12,458,26.2,2.60%
Chaves,195,"17,569",11.1,1.10%
Cibola,40,"6,574",6.1,0.60%
Colfax,52,"2,243",23.2,2.30%
Curry,152,"13,758",11,1.10%
De Baca*,10,368,27.2,2.70%
Dona Ana,483,"56,293",8.6,0.90%
Eddy,193,"17,290",11.2,1.10%
Grant,90,"5,631",16,1.60%
Guadalupe*,9,923,9.8,1.00%
Harding*,5,82,61,6.10%
Hidalgo*,11,949,11.6,1.20%
Lea,279,"22,936",12.2,1.20%
Lincoln,74,"3,912",18.9,1.90%
Los Alamos,47,"4,387",10.7,1.10%
Luna,30,"7,033",4.3,0.40%
McKinley,26,"20,929",1.2,0.10%
Mora*,10,739,13.5,1.40%
Otero,254,"16,295",15.6,1.60%
Quay*,19,"1,892",10,1.00%
Rio Arriba,64,"9,593",6.7,0.70%
Roosevelt,93,"4,888",19,1.90%
Sandoval,351,"35,725",9.8,1.00%
San Juan,34,"32,385",1,0.10%
San Miguel,531,"5,011",106,10.60%
Santa Fe,665,"27,912",23.8,2.40%
Sierra*,38,"1,887",20.1,2.00%
Socorro,36,"3,840",9.4,0.90%
Taos,144,"6,129",23.5,2.30%
Torrance,36,"3,254",11.1,1.10%
Union*,5,810,6.2,0.60%
Valencia,217,"18,760",11.6,1.20%
Total,5948,"500,138",11.9,1.20%
* Small numbers may result in unstable rates,,,,
