"NM Student Vaccine Exemptions by County, Age ≤18 , Calendar Year 2015",,,,
County,"Number of
exemptions,
by county,
age ≤18","Population,
by county,
age ≤18","Number of exemptions
per 1,000 children,
by county,
age ≤18","Percent of students with
vaccine exemptions,
by county,
age ≤18"
Bernalillo,1407,"162,325",8.7,0.90%
Catron*,3,498,6,0.60%
Chaves,75,"18,879",4,0.40%
Cibola,19,"7,039",2.7,0.30%
Colfax,23,"2,578",8.9,0.90%
Curry,73,"14,259",5.1,0.50%
De Baca*,6,454,13.2,1.30%
Dona Ana,135,"58,482",2.3,0.20%
Eddy,135,"15,931",8.5,0.80%
Grant,51,"6,451",7.9,0.80%
Guadalupe*,2,960,2.1,0.20%
Harding*,0,114,0,0.00%
Hidalgo*,9,1094,8.2,0.80%
Lea,82,"22,512",3.6,0.40%
Lincoln,39,"3,873",10.1,1.00%
Los Alamos,87,"4,310",20.2,2.00%
Luna,11,"6,850",1.6,0.20%
McKinley,30,"23,441",1.3,0.10%
Mora*,2,941,2.1,0.20%
Otero,85,"16,160",5.3,0.50%
Quay*,6,"1,888",3.2,0.30%
Rio Arriba,30,"9,942",3,0.30%
Roosevelt,33,"5,192",6.4,0.60%
Sandoval,131,"35,433",3.7,0.40%
San Juan,141,"37,337",3.8,0.40%
San Miguel,23,"6,072",3.8,0.40%
Santa Fe,735,"29,985",24.5,2.50%
Sierra*,12,"1,923",6.2,0.60%
Socorro,17,"4,387",3.9,0.40%
Taos,201,"6,577",30.6,3.10%
Torrance,18,"3,616",5,0.50%
Union*,3,850,3.5,0.40%
Valencia,75,"19,524",3.8,0.40%
Total,3699,"529,877",7,0.70%
* Small numbers may result in unstable rates,,,,
