"NM Student Vaccine Exemptions by County, Age ≤18 , Calendar Year 2023",,,,
County,"Number of
exemptions,
by county,
age ≤18","Population,
by county,
age ≤18","Number of exemptions
per 1,000 children,
by county,
age ≤18","Percent of students with
vaccine exemptions,
by county,
age ≤18"
Bernalillo,1539,"149,683",10.3,1.00%
Catron*,4,458,8.7,0.90%
Chaves,138,"17,569",7.9,0.80%
Cibola,33,"6,574",5,0.50%
Colfax,25,"2,243",11.1,1.10%
Curry,146,"13,758",10.6,1.10%
De Baca*,8,368,21.7,2.20%
Dona Ana,380,"56,293",6.8,0.70%
Eddy,185,"17,290",10.7,1.10%
Grant,78,"5,631",13.9,1.40%
Guadalupe*,1,923,1.1,0.10%
Harding*,4,82,48.8,4.90%
Hidalgo*,4,949,4.2,0.40%
Lea,216,"22,936",9.4,0.90%
Lincoln,81,"3,912",20.7,2.10%
Los Alamos,59,"4,387",13.4,1.30%
Luna,42,"7,033",6,0.60%
McKinley,43,"20,929",2.1,0.20%
Mora*,8,739,10.8,1.10%
Otero,232,"16,295",14.2,1.40%
Quay*,17,"1,892",9,0.90%
Rio Arriba,52,"9,593",5.4,0.50%
Roosevelt,74,"4,888",15.1,1.50%
Sandoval,336,"35,725",9.4,0.90%
San Juan,24,"32,385",0.7,0.10%
San Miguel,448,"5,011",89.4,8.90%
Santa Fe,579,"27,912",20.7,2.10%
Sierra*,24,"1,887",12.7,1.30%
Socorro,20,"3,840",5.2,0.50%
Taos,140,"6,129",22.8,2.30%
Torrance,95,"3,254",29.2,2.90%
Union*,14,810,17.3,1.70%
Valencia,189,"18,760",10.1,1.00%
Total,5238,"500,138",10.5,1.00%
* Small numbers may result in unstable rates,,,,
