"NM Student Vaccine Exemptions by County, Age ≤18 , Calendar Year 2013",,,,
County,"Number of
exemptions,
by county,
age ≤18","Population,
by county,
age ≤18","Number of exemptions
per 1,000 children,
by county,
age ≤18","Percent of students with
vaccine exemptions,
by county,
age ≤18"
Bernalillo,1042,"165,390",6.3,0.60%
Catron*,3,592,5.1,0.50%
Chaves,64,"19,176",3.3,0.30%
Cibola,9,"7,066",1.3,0.10%
Colfax,18,"2,746",6.6,0.70%
Curry,43,"14,413",3,0.30%
De Baca*,2,447,4.5,0.40%
Dona Ana,121,"59,377",2,0.20%
Eddy,85,"15,312",5.6,0.60%
Grant,51,"6,606",7.7,0.80%
Guadalupe*,1,1003,1,0.10%
Harding*,1,115,8.7,0.90%
Hidalgo*,1,1174,0.9,0.10%
Lea,63,"21,419",2.9,0.30%
Lincoln,20,"4,005",5,0.50%
Los Alamos,89,"4,455",20,2.00%
Luna,1,"6,777",0.1,0.00%
McKinley,20,"23,370",0.9,0.10%
Mora*,2,1012,2,0.20%
Otero,56,"16,599",3.4,0.30%
Quay*,7,"1,954",3.6,0.40%
Rio Arriba,27,"10,188",2.7,0.30%
Roosevelt,28,"5,571",5,0.50%
Sandoval,23,"36,192",0.6,0.10%
San Juan,109,"38,102",2.9,0.30%
San Miguel,15,"6,402",2.3,0.20%
Santa Fe,499,"30,914",16.1,1.60%
Sierra*,9,"1,907",4.7,0.50%
Socorro,10,"4,505",2.2,0.20%
Taos,133,"6,817",19.5,2.00%
Torrance,17,"3,792",4.5,0.40%
Union*,6,882,6.8,0.70%
Valencia,50,"20,290",2.5,0.20%
Total,2625,"538,570",4.9,0.50%
* Small numbers may result in unstable rates,,,,
