"NM Student Vaccine Exemptions by County, Age ≤18 , Calendar Year 2016",,,,
County,"Number of
exemptions,
by county,
age ≤18","Population,
by county,
age ≤18","Number of exemptions
per 1,000 children,
by county,
age ≤18","Percent of students with
vaccine exemptions,
by county,
age ≤18"
Bernalillo,1275,"160,704",7.9,0.80%
Catron*,4,490,8.2,0.80%
Chaves,98,"18,744",5.2,0.50%
Cibola,17,"7,010",2.4,0.20%
Colfax,21,"2,493",8.4,0.80%
Curry,97,"14,167",6.8,0.70%
De Baca*,9,440,20.5,2.00%
Dona Ana,171,"58,041",2.9,0.30%
Eddy,127,"15,998",7.9,0.80%
Grant,49,"6,376",7.7,0.80%
Guadalupe*,6,973,6.2,0.60%
Harding*,0,106,0,0.00%
Hidalgo*,11,1050,10.5,1.00%
Lea,109,"22,101",4.9,0.50%
Lincoln,46,"3,860",11.9,1.20%
Los Alamos,96,"4,406",21.8,2.20%
Luna,16,"6,876",2.3,0.20%
McKinley,31,"22,730",1.4,0.10%
Mora*,4,900,4.4,0.40%
Otero,113,"16,148",7,0.70%
Quay*,11,"1,887",5.8,0.60%
Rio Arriba,41,"9,952",4.1,0.40%
Roosevelt,42,"5,169",8.1,0.80%
Sandoval,293,"35,560",8.2,0.80%
San Juan,151,"36,802",4.1,0.40%
San Miguel,31,"5,924",5.2,0.50%
Santa Fe,712,"29,613",24,2.40%
Sierra*,15,"1,863",8.1,0.80%
Socorro,23,"4,301",5.3,0.50%
Taos,196,"6,547",29.9,3.00%
Torrance,23,"3,603",6.4,0.60%
Union*,4,837,4.8,0.50%
Valencia,129,"19,222",6.7,0.70%
Total,3971,"524,893",7.6,0.80%
* Small numbers may result in unstable rates,,,,
