"NM Student Vaccine Exemptions by County, Age ≤18 , Calendar Year 2012",,,,
County,"Number of
exemptions,
by county,
age ≤18","Population,
by county,
age ≤18","Number of exemptions
per 1,000 children,
by county,
age ≤18","Percent of students with
vaccine exemptions,
by county,
age ≤18"
Bernalillo,906,"167,027",5.4,0.50%
Catron*,0,577,0,0.00%
Chaves,48,"19,282",2.5,0.20%
Cibola,8,"7,166",1.1,0.10%
Colfax,4,"2,835",1.4,0.10%
Curry,16,"14,366",1.1,0.10%
De Baca*,4,454,8.8,0.90%
Dona Ana,120,"60,090",2,0.20%
Eddy,61,"14,858",4.1,0.40%
Grant,40,"6,689",6,0.60%
Guadalupe*,2,1036,1.9,0.20%
Harding*,1,111,9,0.90%
Hidalgo*,0,1244,0,0.00%
Lea,46,"20,646",2.2,0.20%
Lincoln,16,"4,031",4,0.40%
Los Alamos,76,"4,560",16.7,1.70%
Luna,7,"6,937",1,0.10%
McKinley,33,"23,564",1.4,0.10%
Mora*,3,1038,2.9,0.30%
Otero,56,"16,759",3.3,0.30%
Quay*,5,"1,999",2.5,0.30%
Rio Arriba,11,"10,316",1.1,0.10%
Roosevelt,18,"5,841",3.1,0.30%
Sandoval,15,"36,554",0.4,0.00%
San Juan,117,"38,620",3,0.30%
San Miguel,19,"6,588",2.9,0.30%
Santa Fe,535,"31,366",17.1,1.70%
Sierra*,9,"2,013",4.5,0.40%
Socorro,18,"4,506",4,0.40%
Taos,102,"6,922",14.7,1.50%
Torrance,13,"3,994",3.3,0.30%
Union*,4,919,4.4,0.40%
Valencia,44,"20,734",2.1,0.20%
Total,2357,"543,642",4.3,0.40%
* Small numbers may result in unstable rates,,,,
