"NM Student Vaccine Exemptions by County, Age ≤18 , Calendar Year 2022",,,,
County,"Number of
exemptions,
by county,
age ≤18","Population,
by county,
age ≤18","Number of exemptions
per 1,000 children,
by county,
age ≤18","Percent of students with
vaccine exemptions,
by county,
age ≤18"
Bernalillo,1513,"149,683",10.1,1.00%
Catron*,5,458,10.9,1.10%
Chaves,142,"17,569",8.1,0.80%
Cibola,13,"6,574",2,0.20%
Colfax,34,"2,243",15.2,1.50%
Curry,135,"13,758",9.8,1.00%
De Baca*,6,368,16.3,1.60%
Dona Ana,300,"56,293",5.3,0.50%
Eddy,133,"17,290",7.7,0.80%
Grant,53,"5,631",9.4,0.90%
Guadalupe*,12,923,13,1.30%
Harding*,0,82,0,0.00%
Hidalgo*,8,949,8.4,0.80%
Lea,189,"22,936",8.2,0.80%
Lincoln,54,"3,912",13.8,1.40%
Los Alamos,53,"4,387",12.1,1.20%
Luna,19,"7,033",2.7,0.30%
McKinley,3,"20,929",0.1,0.00%
Mora*,10,739,13.5,1.40%
Otero,196,"16,295",12,1.20%
Quay*,13,"1,892",6.9,0.70%
Rio Arriba,42,"9,593",4.4,0.40%
Roosevelt,78,"4,888",16,1.60%
Sandoval,400,"35,725",11.2,1.10%
San Juan,255,"32,385",7.9,0.80%
San Miguel,33,"5,011",6.6,0.70%
Santa Fe,587,"27,912",21,2.10%
Sierra*,20,"1,887",10.6,1.10%
Socorro,21,"3,840",5.5,0.50%
Taos,158,"6,129",25.8,2.60%
Torrance,28,"3,254",8.6,0.90%
Union*,2,810,2.5,0.20%
Valencia,149,"18,760",7.9,0.80%
Total,4664,"500,138",9.3,0.90%
* Small numbers may result in unstable rates,,,,
