"NM Student Vaccine Exemptions by County, Age ≤18 , Calendar Year 2019",,,,
County,"Number of
exemptions,
by county,
age ≤18","Population,
by county,
age ≤18","Number of exemptions
per 1,000 children,
by county,
age ≤18","Percent of students with
vaccine exemptions,
by county,
age ≤18"
Bernalillo,1698,"153,608",11.1,1.10%
Catron*,3,445,6.7,0.70%
Chaves,111,"17,712",6.3,0.60%
Cibola,21,"6,554",3.2,0.30%
Colfax,47,"2,242",21,2.10%
Curry,127,"13,736",9.2,0.90%
De Baca*,8,434,18.4,1.80%
Dona Ana,212,"56,702",3.7,0.40%
Eddy,147,"16,203",9.1,0.90%
Grant,47,"5,750",8.2,0.80%
Guadalupe*,7,965,7.3,0.70%
Harding*,1,77,13,1.30%
Hidalgo*,41,1002,40.9,4.10%
Lea,134,"22,367",6,0.60%
Lincoln,61,"3,832",15.9,1.60%
Los Alamos,95,"4,367",21.8,2.20%
Luna,12,"6,703",1.8,0.20%
McKinley,43,"20,916",2.1,0.20%
Mora*,4,862,4.6,0.50%
Otero,141,"16,221",8.7,0.90%
Quay*,13,"1,890",6.9,0.70%
Rio Arriba,49,"9,439",5.2,0.50%
Roosevelt,64,"5,244",12.2,1.20%
Sandoval,346,"35,358",9.8,1.00%
San Juan,213,"34,663",6.1,0.60%
San Miguel,31,"5,361",5.8,0.60%
Santa Fe,683,"27,864",24.5,2.50%
Sierra*,27,"1,819",14.8,1.50%
Socorro,29,"4,122",7,0.70%
Taos,174,"5,961",29.2,2.90%
Torrance,26,"3,411",7.6,0.80%
Union*,9,810,11.1,1.10%
Valencia,146,"18,536",7.9,0.80%
Total,4770,"505,176",9.4,0.90%
* Small numbers may result in unstable rates,,,,
