"NM Student Vaccine Exemptions by County, Age ≤18 , Calendar Year 2018",,,,
County,"Number of
exemptions,
by county,
age ≤18","Population,
by county,
age ≤18","Number of exemptions
per 1,000 children,
by county,
age ≤18","Percent of students with
vaccine exemptions,
by county,
age ≤18"
Bernalillo,1531,"155,896",9.8,1.00%
Catron*,3,459,6.5,0.70%
Chaves,102,"18,128",5.6,0.60%
Cibola,23,"6,752",3.4,0.30%
Colfax,35,"2,327",15,1.50%
Curry,136,"13,778",9.9,1.00%
De Baca*,9,428,21,2.10%
Dona Ana,196,"56,791",3.5,0.30%
Eddy,144,"16,180",8.9,0.90%
Grant,51,"5,900",8.6,0.90%
Guadalupe*,8,964,8.3,0.80%
Harding*,3,90,33.3,3.30%
Hidalgo*,36,1036,34.7,3.50%
Lea,118,"22,165",5.3,0.50%
Lincoln,58,"3,785",15.3,1.50%
Los Alamos,114,"4,405",25.9,2.60%
Luna,13,"6,742",1.9,0.20%
McKinley,47,"21,569",2.2,0.20%
Mora*,10,857,11.7,1.20%
Otero,166,"16,361",10.1,1.00%
Quay*,12,"1,879",6.4,0.60%
Rio Arriba,50,"9,667",5.2,0.50%
Roosevelt,58,"5,076",11.4,1.10%
Sandoval,377,"35,607",10.6,1.10%
San Juan,178,"35,582",5,0.50%
San Miguel,37,"5,646",6.6,0.70%
Santa Fe,787,"28,573",27.5,2.80%
Sierra*,26,"1,819",14.3,1.40%
Socorro,21,"4,108",5.1,0.50%
Taos,172,"6,128",28.1,2.80%
Torrance,28,"3,490",8,0.80%
Union*,8,816,9.8,1.00%
Valencia,140,"18,849",7.4,0.70%
Total,4697,"511,853",9.2,0.90%
* Small numbers may result in unstable rates,,,,
