time,geography,geography_name,school_id,school_name,district,school_type,pct_medical_exemptions,pct_immunized_polio,pct_immunized_measles,pct_immunized_mumps,pct_immunized_rubella,pct_immunized_diphtheria,pct_immunized_hepatitis_b,pct_immunized_varicella,pct_immunized_tdap,pct_immunized_meningococcal,pct_completely_immunized
12-31-2021,36069,Ontario County,430501040004,BLOOMFIELD ELEMENTARY SCHOOL,EAST BLOOMFIELD CENTRAL SCHOOL,Public School,0,99.4,100,100,100,100,100,99.7,NA,NA,99
12-31-2023,36119,Westchester County,661800997127,RYE COUNTRY DAY SCHOOL,NA,Private School,0,99.9,100,100,100,100,100,100,100,100,100
12-31-2023,36053,Madison County,250701040002,HAMILTON ES,HAMILTON CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2021,36103,Suffolk County,580507060003,JOHN PEARL ELEM SCHOOL,CONNETQUOT CENT SCH OF ISLIP,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2022,36117,Wayne County,650801060004,WAYNE CENTRAL PRIMARY SCHOOL,WAYNE CENTRAL SCHOOL,Public School,0,100,100,100,100,100,99,100,NA,NA,99
12-31-2023,36013,Chautauqua County,62601658580,SUNSET VIEW SCHOOL SCHOOL,NA,Private School,0,94.69999999999999,95,95,95,95,100,78.9,73,67,74
12-31-2021,36059,Nassau County,280221030001,SOUTH SIDE S H S,ROCKVILLE CENTRE U F S,Public School,0,100,100,100,100,100,100,100,100,100,100
12-31-2022,36103,Suffolk County,581010020002,GREENPORT ELEM SCHOOL,GREENPORT UNION FREE SCHOOL,Public School,0,99.9,100,100,100,100,100,100,97,NA,100
12-31-2022,36111,Ulster County,620600996700,WOODCREST SCHOOL,NA,Private School,0,100,97,97,97,100,99,97.39999999999999,100,93,96
12-31-2021,36093,Schenectady County,530202060007,SCOTIA J H S,SCOTIA GLENVILLE CENT SCH,Public School,0,100,100,100,100,100,100,100,100,100,99
12-31-2021,36059,Nassau County,280202030007,WALNUT STREET SCHOOL,UNIONDALE UNION FREE SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2021,36089,St. Lawrence County,512404040002,ELM GROVE,NA,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2024,36103,Suffolk County,580201996687,STONY BROOK SCHOOL (THE),0.0,Private School,0,99.77000000000001,100,100,100,NA,100,99.77000000000001,100,100,100
12-31-2024,36059,Nassau County,280502060001,WALT WHITMAN SCHOOL,SYOSSET CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,99
12-31-2021,36055,Monroe County,261901060015,WEBSTER THOMAS HIGH SCHOOL,WEBSTER CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,100,100,100
