"Number and Percentage of Children with Medical Exemptions by Grade Type and County, New Jersey, 2015-2016",,,,,,,,,,,,,,,,,,
County,Pre-Kindergarten,,,Kindergarten,,,First Grade,,,Sixth Grade,,,Transfer,,,Total,,
,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent
Atlantic,"5,806",18,0.30%,"3,268",5,0.20%,"1,015",0,0.00%,"3,444",3,0.10%,895,1,0.10%,"14,428",27,0.20%
Bergen,"24,059",115,0.50%,"11,347",24,0.20%,"4,089",6,0.10%,"11,512",15,0.10%,"3,633",1,0.00%,"54,640",161,0.30%
Burlington,"9,750",41,0.40%,"5,049",7,0.10%,"1,470",2,0.10%,"5,788",12,0.20%,"2,334",4,0.20%,"24,391",66,0.30%
Camden,"12,971",40,0.30%,"6,493",13,0.20%,"2,086",0,0.00%,"6,646",6,0.10%,"1,327",3,0.20%,"29,523",62,0.20%
Cape May,"1,719",10,0.60%,825,3,0.40%,430,1,0.20%,932,2,0.20%,223,0,0.00%,"4,129",16,0.40%
Cumberland,"4,710",25,0.50%,"2,368",1,0.00%,396,0,0.00%,"2,055",4,0.20%,420,0,0.00%,"9,949",30,0.30%
Essex,"22,622",96,0.40%,"11,221",8,0.10%,"2,973",1,0.00%,"11,407",9,0.10%,"2,839",2,0.10%,"51,062",116,0.20%
Gloucester,"6,431",22,0.30%,"3,492",11,0.30%,697,1,0.10%,"3,972",3,0.10%,580,0,0.00%,"15,172",37,0.20%
Hudson,"18,610",75,0.40%,"7,682",7,0.10%,"3,145",2,0.10%,"6,699",4,0.10%,"2,939",0,0.00%,"39,075",88,0.20%
Hunterdon,"2,404",6,0.20%,"1,254",0,0.00%,551,1,0.20%,"1,572",5,0.30%,294,0,0.00%,"6,075",12,0.20%
Mercer,"9,822",43,0.40%,"4,639",19,0.40%,"1,582",1,0.10%,"4,998",3,0.10%,"1,749",3,0.20%,"22,790",69,0.30%
Middlesex,"17,412",64,0.40%,"9,942",13,0.10%,"2,871",2,0.10%,"10,346",5,0.00%,"3,309",6,0.20%,"43,880",90,0.20%
Monmouth,"15,700",85,0.50%,"7,169",27,0.40%,"1,393",6,0.40%,"8,450",30,0.40%,"1,359",6,0.40%,"34,071",154,0.50%
Morris,"13,344",37,0.30%,"5,761",15,0.30%,"2,215",2,0.10%,"6,845",16,0.20%,"1,331",4,0.30%,"29,496",74,0.30%
Ocean,"9,398",43,0.50%,"8,011",26,0.30%,"2,105",4,0.20%,"7,904",13,0.20%,969,1,0.10%,"28,387",87,0.30%
Passaic,"13,328",60,0.50%,"7,076",6,0.10%,"1,984",3,0.20%,"6,804",5,0.10%,"2,042",4,0.20%,"31,234",78,0.20%
Salem,"1,358",9,0.70%,778,2,0.30%,17,0,0.00%,797,5,0.60%,163,0,0.00%,"3,113",16,0.50%
Somerset,"8,531",28,0.30%,"3,775",7,0.20%,"1,065",5,0.50%,"4,420",6,0.10%,"1,015",1,0.10%,"18,806",47,0.20%
Sussex,"2,440",9,0.40%,"1,615",2,0.10%,621,1,0.20%,"1,730",1,0.10%,236,0,0.00%,"6,642",13,0.20%
Union,"15,174",40,0.30%,"7,305",13,0.20%,"2,943",4,0.10%,"7,192",6,0.10%,"1,859",0,0.00%,"34,473",63,0.20%
Warren,"1,827",2,0.10%,"1,046",2,0.20%,157,0,0.00%,"1,218",2,0.20%,363,1,0.30%,"4,611",7,0.20%
Total,"217,416",868,0.40%,"110,116",211,0.20%,"33,805",42,0.10%,"114,731",155,0.10%,"29,879",37,0.10%,"505,947","1,313",0.30%
Note:,"Percentages of children meeting all immunization requirements, with provisional admittance, with medical exemptions, and with religious exemptions in the reports do not sum to 100% due to a number of
children reported in enrollment with unknown status. See Methodology section for more information.",,,,,,,,,,,,,,,,,
Source:,"New Jersey Annual Immunization Status Reports, 2015-2016",,,,,,,,,,,,,,,,,
