"Number and Percentage of Children with Medical Exemptions by Grade Type and County, New Jersey, 2018-2019",,,,,,,,,,,,,,,,,,
County,Pre-Kindergarten,,,Kindergarten,,,First Grade,,,Sixth Grade,,,Transfer,,,Total,,
,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent
Atlantic,"6,095",14,0.20%,"3,218",1,0.00%,245,2,0.80%,"3,480",2,0.10%,"2,294",1,0.00%,"15,332",20,0.10%
Bergen,"25,295",64,0.30%,"11,001",30,0.30%,"1,796",2,0.10%,"11,872",18,0.20%,"7,228",5,0.10%,"57,192",119,0.20%
Burlington,"9,571",29,0.30%,"4,954",10,0.20%,601,0,0.00%,"5,615",9,0.20%,"4,109",4,0.10%,"24,850",52,0.20%
Camden,"13,184",26,0.20%,"6,545",14,0.20%,763,0,0.00%,"6,925",6,0.10%,"5,045",5,0.10%,"32,462",51,0.20%
Cape May,"1,789",4,0.20%,851,4,0.50%,56,0,0.00%,934,1,0.10%,526,0,0.00%,"4,156",9,0.20%
Cumberland,"4,686",7,0.10%,"1,949",4,0.20%,81,0,0.00%,"2,285",2,0.10%,"1,195",0,0.00%,"10,196",13,0.10%
Essex,"23,138",111,0.50%,"11,034",11,0.10%,"1,149",0,0.00%,"11,176",13,0.10%,"6,387",5,0.10%,"52,884",140,0.30%
Gloucester,"6,859",9,0.10%,"3,365",6,0.20%,251,0,0.00%,"3,889",5,0.10%,"2,212",1,0.00%,"16,576",21,0.10%
Hudson,"20,338",65,0.30%,"7,635",8,0.10%,"1,005",1,0.10%,"7,228",4,0.10%,"4,439",1,0.00%,"40,645",79,0.20%
Hunterdon,"2,521",14,0.60%,"1,504",2,0.10%,147,0,0.00%,"1,396",5,0.40%,691,3,0.40%,"6,259",24,0.40%
Mercer,"9,901",44,0.40%,"4,743",3,0.10%,488,0,0.00%,"4,727",10,0.20%,"3,700",6,0.20%,"23,559",63,0.30%
Middlesex,"16,960",48,0.30%,"9,766",18,0.20%,"1,503",5,0.30%,"10,893",13,0.10%,"8,170",7,0.10%,"47,292",91,0.20%
Monmouth,"16,403",78,0.50%,"7,005",12,0.20%,667,1,0.10%,"8,540",15,0.20%,"3,516",9,0.30%,"36,131",115,0.30%
Morris,"14,386",41,0.30%,"5,463",8,0.10%,698,0,0.00%,"6,314",5,0.10%,"2,775",6,0.20%,"29,636",60,0.20%
Ocean,"10,644",43,0.40%,"8,591",24,0.30%,512,0,0.00%,"8,200",15,0.20%,"2,891",0,0.00%,"30,838",82,0.30%
Passaic,"13,934",39,0.30%,"7,134",9,0.10%,762,0,0.00%,"7,111",11,0.20%,"3,984",1,0.00%,"32,925",60,0.20%
Salem,"1,339",2,0.10%,782,1,0.10%,30,0,0.00%,779,1,0.10%,567,1,0.20%,"3,497",5,0.10%
Somerset,"8,771",37,0.40%,"3,852",8,0.20%,592,1,0.20%,"4,585",3,0.10%,"2,065",1,0.00%,"19,865",50,0.30%
Sussex,"2,744",2,0.10%,"1,346",0,0.00%,93,0,0.00%,"1,644",1,0.10%,878,3,0.30%,"6,705",6,0.10%
Union,"16,387",34,0.20%,"7,317",8,0.10%,"1,639",1,0.10%,"7,834",9,0.10%,"6,454",11,0.20%,"39,631",63,0.20%
Warren,"1,859",5,0.30%,"1,106",2,0.20%,101,1,1.00%,"1,242",6,0.50%,"1,227",0,0.00%,"5,535",14,0.30%
Total,"226,804",716,0.30%,"109,161",183,0.20%,"13,179",14,0.10%,"116,669",154,0.10%,"70,353",70,0.10%,"536,166","1,137",0.20%
Note:,"Percentages of children meeting all immunization requirements, with provisional admittance, with medical exemptions, and with religious exemptions in the reports do not sum to 100% due to a number of
children reported in enrollment with unknown status. See Methodology section for more information.",,,,,,,,,,,,,,,,,
Source:,"New Jersey Annual Immunization Status Reports, 2018-2019",,,,,,,,,,,,,,,,,
