"Number and Percentage of Children with Medical Exemptions by Grade Type and County, New Jersey, 2019-2020",,,,,,,,,,,,,,,,,,
County,Pre-Kindergarten,,,Kindergarten,,,First Grade,,,Sixth Grade,,,Transfer,,,Total,,
,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent
Atlantic,"5,522",6,0.10%,"3,223",10,0.30%,151,0,0.00%,"3,422",4,0.10%,2348,2,0.10%,"14,666",22,0.20%
Bergen,"25,586",64,0.30%,"10,819",24,0.20%,"1,280",3,0.20%,"11,986",20,0.20%,"6,440",9,0.10%,"56,111",120,0.20%
Burlington,"10,565",21,0.20%,"5,052",14,0.30%,512,1,0.20%,"5,718",6,0.10%,"3,916",5,0.10%,"25,763",47,0.20%
Camden,"12,603",23,0.20%,"6,662",5,0.10%,452,0,0.00%,"6,708",12,0.20%,"3,771",3,0.10%,"30,196",43,0.10%
Cape May,"1,746",4,0.20%,894,0,0.00%,38,0,0.00%,945,1,0.10%,483,0,0.00%,"4,106",5,0.10%
Cumberland,"4,463",10,0.20%,"2,001",1,0.00%,108,0,0.00%,"2,226",1,0.00%,"1,236",2,0.20%,"10,034",14,0.10%
Essex,"22,912",56,0.20%,"10,168",17,0.20%,591,0,0.00%,"11,059",10,0.10%,"7,481",8,0.10%,"52,211",91,0.20%
Gloucester,"6,742",7,0.10%,"3,328",2,0.10%,236,0,0.00%,"3,866",3,0.10%,"2,019",0,0.00%,"16,191",12,0.10%
Hudson,"19,365",64,0.30%,"7,384",7,0.10%,481,1,0.20%,"6,563",4,0.10%,"4,196",0,0.00%,"37,989",76,0.20%
Hunterdon,"2,551",9,0.40%,"1,198",8,0.70%,76,1,1.30%,"1,377",7,0.50%,761,2,0.30%,"5,963",27,0.50%
Mercer,"9,356",15,0.20%,"4,441",14,0.30%,239,1,0.40%,"4,877",3,0.10%,"3,500",1,0.00%,"22,413",34,0.20%
Middlesex,"17,259",41,0.20%,"9,994",16,0.20%,797,3,0.40%,"10,781",10,0.10%,"6,779",4,0.10%,"45,610",74,0.20%
Monmouth,"15,583",62,0.40%,"6,924",21,0.30%,515,0,0.00%,"7,733",25,0.30%,"3,436",10,0.30%,"34,191",118,0.30%
Morris,"13,765",26,0.20%,"5,588",7,0.10%,377,0,0.00%,"5,888",5,0.10%,"3,652",5,0.10%,"29,270",43,0.10%
Ocean,"11,931",44,0.40%,"8,789",23,0.30%,194,0,0.00%,"8,742",14,0.20%,"2,850",1,0.00%,"32,506",82,0.30%
Passaic,"13,845",33,0.20%,"6,923",3,0.00%,333,1,0.30%,"7,156",1,0.00%,"3,431",0,0.00%,"31,688",38,0.10%
Salem,"1,338",3,0.20%,724,1,0.10%,193,0,0.00%,864,0,0.00%,584,1,0.20%,"3,703",5,0.10%
Somerset,"8,075",13,0.20%,"3,765",5,0.10%,411,1,0.20%,"4,447",14,0.30%,"2,249",1,0.00%,"18,947",34,0.20%
Sussex,"3,096",4,0.10%,"1,470",1,0.10%,38,0,0.00%,"1,556",2,0.10%,829,1,0.10%,"6,989",8,0.10%
Union,"16,194",26,0.20%,"7,416",6,0.10%,787,1,0.10%,"8,092",7,0.10%,"4,460",1,0.00%,"36,949",41,0.10%
Warren,"1,731",5,0.30%,"1,108",3,0.30%,123,0,0.00%,"1,219",0,0.00%,739,0,0.00%,"4,920",8,0.20%
Total,"224,228",536,0.20%,"107,871",188,0.20%,"7,932",13,0.20%,"115,225",149,0.10%,"65,160",56,0.10%,"520,416",942,0.20%
Note:,"Percentages of children meeting all immunization requirements, with provisional admittance, with medical exemptions, with religious exemptions, and out of compliance in the reports may not sum to 100% due
to inconsistencies in reporting that were unable to be resolved because of the COVID-19 pandemic. See Methodology section for more information.",,,,,,,,,,,,,,,,,
Source:,"New Jersey Annual Immunization Status Reports, 2019-2020",,,,,,,,,,,,,,,,,
