"Number and Percentage of Children with Medical Exemptions by Grade Type and County, New Jersey, 2017-2018",,,,,,,,,,,,,,,,,,
County,Pre-Kindergarten,,,Kindergarten,,,First Grade,,,Sixth Grade,,,Transfer,,,Total,,
,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent
Atlantic,"5,883",12,0.20%,"3,268",9,0.30%,215,0,0.00%,"3,401",2,0.10%,2125,1,0.00%,"14,892",24,0.20%
Bergen,"24,904",78,0.30%,"10,728",23,0.20%,"1,223",4,0.30%,"11,434",24,0.20%,"6,617",4,0.10%,"54,906",133,0.20%
Burlington,"9,545",38,0.40%,"4,899",5,0.10%,468,1,0.20%,"5,609",7,0.10%,"3,395",7,0.20%,"23,916",58,0.20%
Camden,"13,523",48,0.40%,"6,423",9,0.10%,930,1,0.10%,"6,483",8,0.10%,"3,981",2,0.10%,"31,340",68,0.20%
Cape May,"1,745",10,0.60%,935,2,0.20%,82,0,0.00%,941,4,0.40%,583,1,0.20%,"4,286",17,0.40%
Cumberland,"4,477",6,0.10%,"2,058",2,0.10%,270,0,0.00%,"2,140",1,0.00%,"1,144",0,0.00%,"10,089",9,0.10%
Essex,"23,447",130,0.60%,"11,109",10,0.10%,"1,365",0,0.00%,"10,910",7,0.10%,"6,969",4,0.10%,"53,800",151,0.30%
Gloucester,"7,280",23,0.30%,"3,368",4,0.10%,270,0,0.00%,"3,893",9,0.20%,"1,912",2,0.10%,"16,723",38,0.20%
Hudson,"19,222",77,0.40%,"7,141",10,0.10%,"1,101",1,0.10%,"6,645",4,0.10%,"3,464",2,0.10%,"37,573",94,0.30%
Hunterdon,"2,663",15,0.60%,"1,188",1,0.10%,175,0,0.00%,"1,520",2,0.10%,807,2,0.20%,"6,353",20,0.30%
Mercer,"9,811",35,0.40%,"4,636",3,0.10%,693,0,0.00%,"4,763",2,0.00%,"3,760",10,0.30%,"23,663",50,0.20%
Middlesex,"17,049",44,0.30%,"10,110",7,0.10%,"1,263",2,0.20%,"10,547",24,0.20%,"8,136",5,0.10%,"47,105",82,0.20%
Monmouth,"15,430",91,0.60%,"6,929",19,0.30%,652,2,0.30%,"8,108",21,0.30%,"3,392",7,0.20%,"34,511",140,0.40%
Morris,"13,404",44,0.30%,"5,499",9,0.20%,554,1,0.20%,"6,726",21,0.30%,"2,660",4,0.20%,"28,843",79,0.30%
Ocean,"10,633",44,0.40%,"8,301",24,0.30%,499,0,0.00%,"8,395",14,0.20%,"2,841",1,0.00%,"30,669",83,0.30%
Passaic,"13,529",52,0.40%,"6,818",5,0.10%,511,0,0.00%,"7,192",11,0.20%,"3,608",3,0.10%,"31,658",71,0.20%
Salem,"1,444",6,0.40%,637,2,0.30%,41,0,0.00%,753,0,0.00%,576,1,0.20%,"3,451",9,0.30%
Somerset,"8,960",30,0.30%,"3,908",10,0.30%,572,0,0.00%,"4,477",7,0.20%,"2,050",2,0.10%,"19,967",49,0.20%
Sussex,"2,761",7,0.30%,"1,387",1,0.10%,55,0,0.00%,"1,654",2,0.10%,795,1,0.10%,"6,652",11,0.20%
Union,"16,011",38,0.20%,"7,242",15,0.20%,"1,061",1,0.10%,"7,757",6,0.10%,"4,428",0,0.00%,"36,499",60,0.20%
Warren,"2,014",6,0.30%,"1,035",1,0.10%,89,0,0.00%,"1,254",1,0.10%,739,0,0.00%,"5,131",8,0.20%
Total,"223,735",834,0.40%,"107,619",171,0.20%,"12,089",13,0.10%,"114,602",177,0.20%,"63,982",59,0.10%,"522,027","1,254",0.20%
Note:,"Percentages of children meeting all immunization requirements, with provisional admittance, with medical exemptions, and with religious exemptions in the reports do not sum to 100% due to a number of
children reported in enrollment with unknown status. See Methodology section for more information.",,,,,,,,,,,,,,,,,
Source:,"New Jersey Annual Immunization Status Reports, 2017-2018",,,,,,,,,,,,,,,,,
