"Number and Percentage of Children with Medical Exemptions by Grade Type and County, New Jersey, 2014-2015",,,,,,,,,,,,,,,,,,
County,Pre-Kindergarten,,,Kindergarten,,,First Grade,,,Sixth Grade,,,Transfer,,,Total,,
,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent
Atlantic,"5,401",20,0.40%,"3,439",3,0.10%,"1,202",0,0.00%,"3,453",2,0.10%,752,2,0.30%,"14,247",27,0.20%
Bergen,"22,890",155,0.70%,"11,376",24,0.20%,"4,205",7,0.20%,"11,554",16,0.10%,"4,845",5,0.10%,"54,870",207,0.40%
Burlington,"7,929",34,0.40%,"5,201",2,0.00%,"1,504",2,0.10%,"5,660",11,0.20%,"2,449",0,0.00%,"22,743",49,0.20%
Camden,"12,387",37,0.30%,"6,663",9,0.10%,"1,792",3,0.20%,"6,672",5,0.10%,"2,052",4,0.20%,"29,566",58,0.20%
Cape May,"1,581",6,0.40%,985,3,0.30%,653,0,0.00%,914,2,0.20%,253,0,0.00%,"4,386",11,0.30%
Cumberland,"4,595",19,0.40%,"2,286",2,0.10%,401,0,0.00%,"2,009",2,0.10%,478,1,0.20%,"9,769",24,0.20%
Essex,"20,948",73,0.40%,"11,384",15,0.10%,"3,094",2,0.10%,"10,927",8,0.10%,"6,177",2,0.00%,"52,530",100,0.20%
Gloucester,"6,687",44,0.70%,"3,692",12,0.30%,967,4,0.40%,"3,984",6,0.20%,"1,993",2,0.10%,"17,323",68,0.40%
Hudson,"16,725",99,0.60%,"7,646",10,0.10%,"3,634",1,0.00%,"6,918",8,0.10%,"5,107",1,0.00%,"40,030",119,0.30%
Hunterdon,"2,214",9,0.40%,"1,262",7,0.60%,627,6,1.00%,"1,429",2,0.10%,320,0,0.00%,"5,852",24,0.40%
Mercer,"9,693",45,0.50%,"4,805",6,0.10%,"1,627",3,0.20%,"4,838",10,0.20%,"3,976",3,0.10%,"24,939",67,0.30%
Middlesex,"16,917",89,0.50%,"10,263",13,0.10%,"3,097",0,0.00%,"12,171",10,0.10%,"6,166",2,0.00%,"48,614",114,0.20%
Monmouth,"14,546",117,0.80%,"7,626",23,0.30%,"2,280",5,0.20%,"8,691",14,0.20%,"1,249",0,0.00%,"34,392",159,0.50%
Morris,"12,911",53,0.40%,"6,076",19,0.30%,"2,380",5,0.20%,"6,915",7,0.10%,"2,470",2,0.10%,"30,752",86,0.30%
Ocean,"9,138",69,0.80%,"8,113",25,0.30%,"2,852",3,0.10%,"7,490",19,0.30%,"4,405",2,0.10%,"31,998",118,0.40%
Passaic,"12,960",70,0.50%,"7,255",17,0.20%,"2,008",2,0.10%,"6,744",5,0.10%,"1,954",5,0.30%,"30,921",99,0.30%
Salem,"1,239",5,0.40%,810,1,0.10%,405,0,0.00%,767,1,0.10%,206,0,0.00%,"3,427",7,0.20%
Somerset,"8,236",31,0.40%,"4,076",11,0.30%,"1,241",8,0.60%,"4,690",4,0.10%,"2,722",2,0.10%,"20,965",56,0.30%
Sussex,"2,554",6,0.20%,"1,523",4,0.30%,837,0,0.00%,"1,841",2,0.10%,"1,198",1,0.10%,"7,953",13,0.20%
Union,"14,714",60,0.40%,"7,506",10,0.10%,"2,556",2,0.10%,"7,269",5,0.10%,"2,111",8,0.40%,"34,156",85,0.20%
Warren,"1,776",7,0.40%,"1,136",0,0.00%,210,0,0.00%,"1,291",4,0.30%,356,0,0.00%,"4,769",11,0.20%
Total,"206,041","1,048",0.50%,"113,123",216,0.20%,"37,572",53,0.10%,"116,227",143,0.10%,"51,239",42,0.10%,"524,202","1,502",0.30%
Note:,"Percentages of children meeting all immunization requirements, with provisional admittance, with medical exemptions, and with religious exemptions in the reports do not sum to 100% due to a number of
children reported in enrollment with unknown status. See Methodology section for more information.",,,,,,,,,,,,,,,,,
Source:,"New Jersey Annual Immunization Status Reports, 2014-2015",,,,,,,,,,,,,,,,,
