"Number and Percentage of Children with Medical Exemptions by Grade Type and County, New Jersey, 2020-2021",,,,,,,,,,,,,,,,,,
County,Pre-Kindergarten,,,Kindergarten,,,First Grade,,,Sixth Grade,,,Transfer,,,Total,,
,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent
Atlantic,"3,909",7,0.20%,"2,810",2,0.10%,202,0,0.00%,"3,410",0,0.00%,905,2,0.20%,"11,236",11,0.10%
Bergen,"16,296",38,0.20%,"10,366",18,0.20%,945,0,0.00%,"11,176",14,0.10%,"3,665",2,0.10%,"42,448",72,0.20%
Burlington,"6,397",14,0.20%,"4,930",8,0.20%,396,1,0.30%,"5,529",11,0.20%,"1,745",4,0.20%,"18,997",38,0.20%
Camden,"8,780",13,0.10%,"5,899",7,0.10%,397,1,0.30%,"6,784",5,0.10%,"1,308",1,0.10%,"23,168",27,0.10%
Cape May,"1,365",2,0.10%,868,3,0.30%,49,1,2.00%,924,2,0.20%,266,0,0.00%,"3,472",8,0.20%
Cumberland,"3,256",7,0.20%,"1,913",3,0.20%,89,0,0.00%,"1,935",8,0.40%,390,0,0.00%,"7,583",18,0.20%
Essex,"16,480",28,0.20%,"9,401",11,0.10%,445,1,0.20%,"11,162",20,0.20%,"2,908",1,0.00%,"40,396",61,0.20%
Gloucester,"4,806",2,0.00%,"3,205",5,0.20%,181,0,0.00%,"3,749",5,0.10%,716,0,0.00%,"12,657",12,0.10%
Hudson,"13,031",41,0.30%,"6,646",5,0.10%,282,0,0.00%,"6,336",12,0.20%,"1,657",2,0.10%,"27,952",60,0.20%
Hunterdon,"1,769",2,0.10%,"1,162",2,0.20%,70,1,1.40%,"1,322",4,0.30%,388,1,0.30%,"4,711",10,0.20%
Mercer,"5,871",10,0.20%,"4,188",6,0.10%,246,0,0.00%,"4,836",3,0.10%,"1,954",3,0.20%,"17,095",22,0.10%
Middlesex,"10,041",26,0.30%,"9,016",9,0.10%,765,3,0.40%,"9,969",11,0.10%,"2,486",0,0.00%,"32,277",49,0.20%
Monmouth,"11,287",34,0.30%,"6,659",19,0.30%,649,1,0.20%,"7,536",36,0.50%,"1,744",0,0.00%,"27,875",90,0.30%
Morris,"9,590",13,0.10%,"5,299",5,0.10%,446,1,0.20%,"6,186",7,0.10%,"1,130",0,0.00%,"22,651",26,0.10%
Ocean,"9,525",36,0.40%,"8,467",15,0.20%,300,1,0.30%,"8,036",10,0.10%,"1,295",0,0.00%,"27,623",62,0.20%
Passaic,"9,639",24,0.20%,"6,195",3,0.00%,354,0,0.00%,"6,682",2,0.00%,"1,785",1,0.10%,"24,655",30,0.10%
Salem,980,1,0.10%,728,0,0.00%,29,0,0.00%,821,4,0.50%,223,0,0.00%,"2,781",5,0.20%
Somerset,"5,241",5,0.10%,"3,478",6,0.20%,491,4,0.80%,"4,335",6,0.10%,811,1,0.10%,"14,356",22,0.20%
Sussex,"1,945",3,0.20%,"1,379",0,0.00%,67,0,0.00%,"1,557",5,0.30%,411,0,0.00%,"5,359",8,0.10%
Union,"11,367",20,0.20%,"6,577",7,0.10%,781,0,0.00%,"7,517",20,0.30%,"2,032",0,0.00%,"28,274",47,0.20%
Warren,"1,143",2,0.20%,958,1,0.10%,83,0,0.00%,"1,597",2,0.10%,260,0,0.00%,"4,041",5,0.10%
Total,"152,718",328,0.20%,"100,144",135,0.10%,"7,267",15,0.20%,"111,399",187,0.20%,"28,079",18,0.10%,"399,607",683,0.20%
Note:,"Percentages of children meeting all immunization requirements, with provisional admittance, with medical exemptions, with religious exemptions, and out of compliance in the reports may not sum to 100% due
to inconsistencies in reporting that were unable to be resolved because of the COVID-19 pandemic. See Methodology section for more information.",,,,,,,,,,,,,,,,,
Source:,"New Jersey Annual Immunization Status Reports, 2020-2021",,,,,,,,,,,,,,,,,
