time,geography,geography_name,school_name,n_total_audited,n_hep_a,n_hep_b,n_dtap,n_tdap,n_polio,n_mmr_k,n_varicella,n_men_6th,n_medical_exempt,n_religious_exempt
12-31-2018,46003,Aurora County,Aurora Plains Academy Middle School,7.00,6.00,7.00,0.00,6.00,0.00,0.00,0.00,6.00,0.00,0.00
12-31-2019,46003,Aurora County,Aurora Plains Academy Middle School,3.00,3.00,3.00,0.00,3.00,0.00,0.00,0.00,3.00,0.00,0.00
12-31-2020,46003,Aurora County,Aurora Plains Academy Middle School,2.00,2.00,2.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00
12-31-2021,46003,Aurora County,Aurora Plains Academy Middle School,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2022,46003,Aurora County,Aurora Plains Academy Middle School,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2023,46003,Aurora County,Aurora Plains Academy Middle School,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
12-31-2024,46003,Aurora County,Aurora Plains Academy Middle School,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2018,46003,Aurora County,Corsica Stickney Elementary,35.00,33.00,34.00,19.00,16.00,19.00,19.00,19.00,16.00,0.00,0.00
12-31-2019,46003,Aurora County,Corsica Stickney Elementary,29.00,15.00,15.00,15.00,13.00,15.00,15.00,15.00,12.00,0.00,1.00
12-31-2020,46003,Aurora County,Corsica Stickney Elementary,50.00,48.00,50.00,25.00,24.00,25.00,25.00,25.00,24.00,0.00,1.00
12-31-2021,46003,Aurora County,Corsica Stickney Elementary,43.00,40.00,42.00,24.00,16.00,24.00,24.00,24.00,16.00,0.00,3.00
12-31-2022,46003,Aurora County,Corsica Stickney Elementary,54.00,49.00,51.00,25.00,27.00,25.00,25.00,24.00,27.00,0.00,2.00
12-31-2023,46003,Aurora County,Corsica Stickney Elementary,42.00,36.00,41.00,15.00,19.00,15.00,14.00,14.00,19.00,0.00,8.00
12-31-2024,46003,Aurora County,Corsica Stickney Elementary,44.00,40.00,43.00,26.00,15.00,26.00,25.00,25.00,16.00,0.00,1.00
12-31-2018,46003,Aurora County,Plankinton Elementary,50.00,49.00,50.00,24.00,24.00,24.00,23.00,23.00,23.00,0.00,2.00
12-31-2019,46003,Aurora County,Plankinton Elementary,43.00,40.00,42.00,20.00,21.00,20.00,20.00,20.00,20.00,0.00,1.00
12-31-2020,46003,Aurora County,Plankinton Elementary,42.00,36.00,37.00,18.00,19.00,18.00,18.00,18.00,19.00,0.00,0.00
12-31-2021,46003,Aurora County,Plankinton Elementary,43.00,41.00,42.00,18.00,21.00,18.00,18.00,18.00,20.00,0.00,0.00
12-31-2022,46003,Aurora County,Plankinton Elementary,40.00,36.00,37.00,18.00,18.00,18.00,18.00,17.00,18.00,0.00,0.00
12-31-2023,46003,Aurora County,Plankinton Elementary,33.00,31.00,33.00,19.00,12.00,19.00,20.00,19.00,11.00,0.00,0.00
