"Number and Percentage of Children with Medical Exemptions by Grade Type and County, New Jersey, 2022-2023",,,,,,,,,,,,,,,,,,
County,Pre-Kindergarten,,,Kindergarten,,,First Grade,,,Sixth Grade,,,Transfer,,,Total,,
,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent
Atlantic,"5,806",11,0.20%,"2,912",0,0.00%,204,0,0.00%,"3,226",3,0.10%,992,1,0.10%,"13,140",15,0.10%
Bergen,"24,451",38,0.20%,"10,322",17,0.20%,"2,060",1,0.00%,"11,254",9,0.10%,"5,870",3,0.10%,"53,957",68,0.10%
Burlington,"10,175",19,0.20%,"4,933",8,0.20%,737,2,0.30%,"5,315",4,0.10%,"3,468",2,0.10%,"24,628",35,0.10%
Camden,"11,641",19,0.20%,"6,311",10,0.20%,631,1,0.20%,"6,593",8,0.10%,"2,261",1,0.00%,"27,437",39,0.10%
Cape May,"1,682",1,0.10%,766,1,0.10%,104,0,0.00%,809,1,0.10%,310,2,0.60%,"3,671",5,0.10%
Cumberland,"4,098",4,0.10%,"1,843",4,0.20%,212,0,0.00%,"2,561",1,0.00%,558,0,0.00%,"9,272",9,0.10%
Essex,"22,955",40,0.20%,"10,907",7,0.10%,"2,756",1,0.00%,"10,374",9,0.10%,"4,233",48,1.10%,"51,225",105,0.20%
Gloucester,"6,915",18,0.30%,"3,294",5,0.20%,297,0,0.00%,"3,759",4,0.10%,"1,081",2,0.20%,"15,346",29,0.20%
Hudson,"16,553",31,0.20%,"6,602",6,0.10%,"2,138",0,0.00%,"6,811",4,0.10%,"2,761",6,0.20%,"34,865",47,0.10%
Hunterdon,"2,871",3,0.10%,"1,179",0,0.00%,148,0,0.00%,"1,357",2,0.10%,429,0,0.00%,"5,984",5,0.10%
Mercer,"8,677",10,0.10%,"4,393",4,0.10%,816,0,0.00%,"4,523",3,0.10%,"2,021",2,0.10%,"20,430",19,0.10%
Middlesex,"15,222",32,0.20%,"9,048",11,0.10%,"2,096",2,0.10%,"10,621",6,0.10%,"4,375",8,0.20%,"41,362",59,0.10%
Monmouth,"15,647",54,0.30%,"6,871",20,0.30%,974,6,0.60%,"7,619",16,0.20%,"2,076",5,0.20%,"33,187",101,0.30%
Morris,"14,480",23,0.20%,"5,575",8,0.10%,703,1,0.10%,"5,781",12,0.20%,"1,998",3,0.20%,"28,537",47,0.20%
Ocean,"12,811",46,0.40%,"8,939",12,0.10%,869,1,0.10%,"8,227",11,0.10%,"1,669",2,0.10%,"32,515",72,0.20%
Passaic,"13,497",37,0.30%,"6,431",3,0.00%,784,0,0.00%,"6,397",6,0.10%,"3,166",1,0.00%,"30,275",47,0.20%
Salem,"1,301",4,0.30%,721,2,0.30%,41,0,0.00%,834,0,0.00%,247,0,0.00%,"3,144",6,0.20%
Somerset,"8,047",10,0.10%,"3,672",2,0.10%,726,1,0.10%,"4,275",3,0.10%,"1,642",1,0.10%,"18,362",17,0.10%
Sussex,"3,044",14,0.50%,"1,428",2,0.10%,182,0,0.00%,"1,548",3,0.20%,553,0,0.00%,"6,755",19,0.30%
Union,"15,138",34,0.20%,"7,303",10,0.10%,"1,824",2,0.10%,"7,346",10,0.10%,"2,469",0,0.00%,"34,080",56,0.20%
Warren,"1,883",12,0.60%,"1,018",1,0.10%,104,0,0.00%,"1,162",2,0.20%,333,0,0.00%,"4,500",15,0.30%
Total,"216,894",460,0.20%,"104,468",133,0.10%,"18,406",18,0.10%,"110,392",117,0.10%,"42,512",87,0.20%,"492,672",815,0.20%
Note:,"Percentages of children meeting all immunization requirements, with provisional admittance, with medical exemptions, and with religious exemptions in the reports do not sum to 100% due to a number of
children reported in enrollment with unknown status. See Methodology section for more information.",,,,,,,,,,,,,,,,,
Source:,"New Jersey Annual Immunization Status Reports, 2022-2023",,,,,,,,,,,,,,,,,
