"Number and Percentage of Children with Medical Exemptions by Grade Type and County, New Jersey, 2024-2025",,,,,,,,,,,,,,,,,,
County,Pre-Kindergarten,,,Kindergarten,,,First Grade,,,Sixth Grade,,,Transfer,,,Total,,
,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent
Atlantic,"6,102",10,0.20%,"2,895",4,0.10%,120,0,0.00%,"3,146",4,0.10%,658,1,0.20%,"12,921",19,0.10%
Bergen,"24,659",69,0.30%,"10,373",18,0.20%,964,0,0.00%,"11,401",13,0.10%,"4,111",0,0.00%,"51,508",100,0.20%
Burlington,"11,328",24,0.20%,"5,070",14,0.30%,"1,426",2,0.10%,"5,895",3,0.10%,"2,255",4,0.20%,"25,974",47,0.20%
Camden,"13,367",29,0.20%,"6,355",4,0.10%,367,0,0.00%,"6,438",4,0.10%,"1,989",1,0.10%,"28,516",38,0.10%
Cape May,"1,725",0,0.00%,737,2,0.30%,41,0,0.00%,831,2,0.20%,242,0,0.00%,"3,576",4,0.10%
Cumberland,"4,145",18,0.40%,"1,861",2,0.10%,131,1,0.80%,"2,409",1,0.00%,611,0,0.00%,"9,157",22,0.20%
Essex,"24,712",61,0.20%,"10,678",8,0.10%,892,0,0.00%,"10,579",16,0.20%,"5,014",20,0.40%,"51,875",105,0.20%
Gloucester,"7,066",12,0.20%,"3,454",7,0.20%,132,0,0.00%,"3,521",2,0.10%,"1,001",0,0.00%,"15,174",21,0.10%
Hudson,"19,045",35,0.20%,"6,905",6,0.10%,551,2,0.40%,"6,749",9,0.10%,"3,041",1,0.00%,"36,291",53,0.10%
Hunterdon,"3,028",10,0.30%,"1,247",4,0.30%,65,0,0.00%,"1,256",1,0.10%,391,0,0.00%,"5,987",15,0.30%
Mercer,"9,529",18,0.20%,"4,324",5,0.10%,260,0,0.00%,"4,681",3,0.10%,"2,303",6,0.30%,"21,097",32,0.20%
Middlesex,"17,237",47,0.30%,"8,875",11,0.10%,870,1,0.10%,"11,029",17,0.20%,"4,573",14,0.30%,"42,584",90,0.20%
Monmouth,"17,347",67,0.40%,"6,549",9,0.10%,382,0,0.00%,"7,159",17,0.20%,"1,496",2,0.10%,"32,933",95,0.30%
Morris,"14,799",21,0.10%,"5,463",9,0.20%,391,1,0.30%,"5,902",15,0.30%,"1,592",0,0.00%,"28,147",46,0.20%
Ocean,"15,551",24,0.20%,"9,398",15,0.20%,469,0,0.00%,"8,725",7,0.10%,"1,803",5,0.30%,"35,946",51,0.10%
Passaic,"13,381",46,0.30%,"6,127",6,0.10%,474,1,0.20%,"6,591",6,0.10%,"2,659",2,0.10%,"29,232",61,0.20%
Salem,"1,312",3,0.20%,718,1,0.10%,24,0,0.00%,850,0,0.00%,205,0,0.00%,"3,109",4,0.10%
Somerset,"8,803",16,0.20%,"3,617",4,0.10%,394,1,0.30%,"4,229",6,0.10%,"1,194",0,0.00%,"18,237",27,0.10%
Sussex,"3,236",8,0.20%,"1,424",0,0.00%,61,0,0.00%,"1,501",0,0.00%,397,1,0.30%,"6,619",9,0.10%
Union,"15,313",37,0.20%,"7,221",10,0.10%,725,0,0.00%,"7,514",8,0.10%,"2,420",2,0.10%,"33,193",57,0.20%
Warren,"2,217",2,0.10%,"1,048",1,0.10%,279,0,0.00%,"1,094",2,0.20%,245,0,0.00%,"4,883",5,0.10%
Total,"233,902",557,0.20%,"104,339",140,0.10%,"9,018",9,0.10%,"111,500",136,0.10%,"38,200",59,0.20%,"496,959",901,0.20%
Note:,"Percentages of children meeting all immunization requirements, with provisional admittance, with medical exemptions, and with religious exemptions in the reports do not sum to 100% due to a number of
children reported in enrollment with unknown status. See Methodology section for more information.",,,,,,,,,,,,,,,,,
Source:,"New Jersey Annual Immunization Status Reports, 2024-2025",,,,,,,,,,,,,,,,,
