"school_name","school_type","address","city","zipcode","planning_region","ex_rel","ex_med","ex_tot"
"Waltersville School","Public","150 Hallett Street","Bridgeport","06608","Greater Bridgeport","0.0","0.0","0.0"
"Warren Harding High School","Public","379 Bond St","Bridgeport","06610","Greater Bridgeport","0.6","0.5","1.1"
"Wilbur Cross School","Public","1775 Reservoir Ave.","Bridgeport","06606","Greater Bridgeport","0.0","1.0","1.0"
"The Burnham School","Public","80 Main St.","Bridgewater","06752","Western CT","4.1","0.0","4.1"
"Bristol Arts and Innovation Magnet School","Public","70 Memorial Boulevard","Bristol","06111","Naugatuck Valley","2.3","0.0","2.3"
"Bristol Central High School","Public","480 Wolcott St.","Bristol","06010","Naugatuck Valley","0.7","0.0","0.7"
"Bristol Eastern High School","Public","632 King St.","Bristol","06010","Naugatuck Valley","1.3","0.1","1.4"
"Bristol Preparatory Academy","Public","210 Redstone Hill Road","Bristol","06010","Naugatuck Valley","0.0","0.0","0.0"
"Chippens Hill Middle School","Public","551 Peacedale St.","Bristol","06010","Naugatuck Valley","1.6","0.0","1.6"
"Edgewood Pre-K Academy","Public","345 Mix St.","Bristol","06010","Naugatuck Valley","0.0","0.0","0.0"
"Ellen P. Hubbell School","Public","90 West Washington St.","Bristol","06010","Naugatuck Valley","0.3","0.3","0.6"
"Greene-Hills School","Public","718 Pine St.","Bristol","06010","Naugatuck Valley","1.0","0.0","1.0"
"Immanuel Lutheran-Bristol","Non-public","154 Meadow Street","Bristol","06010","Naugatuck Valley","0.0","1.0","1.0"
"Ivy Drive School","Public","160 Ivy Dr.","Bristol","06010","Naugatuck Valley","0.5","0.0","0.5"
"Mountain View School","Public","71 Vera Rd.","Bristol","06010","Naugatuck Valley","0.6","0.0","0.6"
"Northeast Middle School","Public","530 Stevens St.","Bristol","06010","Naugatuck Valley","2.6","0.3","2.9"
"Oak Hill School at Bristol","Non-public","47 Upton Street","Bristol","06057","Naugatuck Valley","DNC","DNC","DNC"
"South Side School","Public","21 Tuttle Rd.","Bristol","06010","Naugatuck Valley","0.8","0.6","1.4"
"St. Joseph-Bristol","Non-public","335 Center Street","Bristol","06010","Naugatuck Valley","3.0","0.0","3.0"
"St. Matthew","Non-public","33 Welch Drive","Bristol","06010","Naugatuck Valley","3.9","1.7","5.6"
"St. Paul Catholic High School","Non-public","1001 Stafford Avenue","Bristol","06010","Naugatuck Valley","2.7","0.5","3.3"
"Stafford School","Public","212 Louisiana Ave.","Bristol","06010","Naugatuck Valley","0.0","0.0","0.0"
"West Bristol School","Public","500 Clark Avenue","Bristol","06010","Naugatuck Valley","1.4","0.6","2.0"
"Brookfield High School","Public","45 Long Meadow Hill Rd.","Brookfield","06804","Western CT","2.3","0.5","2.8"
"Candlewood Lake Elementary School","Public","100 Candlewood Lake Road","Brookfield","06804","Western CT","1.2","0.6","1.9"
"Christian Life Academy","Non-public","133 Junction Road","Brookfield","06804","Western CT","0.7","0.0","0.7"
"Whisconier Middle School","Public","17 West Whisconier Rd.","Brookfield","06804","Western CT","0.8","0.3","1.1"
"Brooklyn Elementary School","Public","119 Gorman Rd.","Brooklyn","06234","Northeast CT","1.7","0.0","1.7"
"Brooklyn Middle School","Public","119 Gorman Rd.","Brooklyn","06234","Northeast CT","3.4","0.3","3.7"
"The Learning Clinic","Public","476 Pomfret Road","Brooklyn","06234","Northeast CT","DS","DS","DS"
"Har-Bur Middle School","Public","24 Lyon Rd.","Burlington","06013","Northwest Hills","3.2","0.0","3.2"
"Harwinton Consolidated School","Public","115 Litchfield Rd.","Burlington","06791","Northwest Hills","0.8","0.8","1.7"
"Lake Garda Elementary School","Public","61 Monce Rd.","Burlington","06013","Northwest Hills","0.4","0.2","0.7"
"Lewis S. Mills High School","Public","26 Lyon Rd.","Burlington","06013","Northwest Hills","2.1","0.0","2.1"
"Housatonic Valley Regional High School","Public","246 Warren Turnpike Rd.","Canaan","06031","Northwest Hills","1.9","0.0","1.9"
"Lee H. Kellogg School","Public","47 Main St.","Canaan","06031","Northwest Hills","0.0","0.0","0.0"
"Canterbury Elementary School","Public","67 Kitt Rd.","Canterbury","06331","Northeast CT","1.4","1.7","3.1"
"Dr. Helen Baldwin Middle School","Public","45 Westminster Rd.","Canterbury","06331","Northeast CT","10.9","0.0","10.9"
"Canton High School","Public","76 Simonds Avenue","Canton","06019","Capitol","5.4","0.2","5.6"
"Canton Intermediate School","Public","39 Dyer Ave.","Canton","06019","Capitol","5.4","0.0","5.4"
"Canton Middle School","Public","76 Simonds Avenue","Canton","06019","Capitol","5.6","0.0","5.6"
"Cherry Brook Primary School","Public","4 Barbourtown Rd.","Canton","06019","Capitol","0.0","3.8","3.8"
"Fresh Start School","Non-public","126 Dowd Avenue","Canton","06019","Capitol","DNC","DNC","DNC"
"Chaplin Elementary School","Public","240 Palmer Rd.","Chaplin","06235","Northeast CT","0.7","0.0","0.7"
"Parish Hill High School","Public","304 Parish Hill Rd.","Chaplin","06235","Northeast CT","2.2","1.1","3.4"
"Chapman School","Public","38 Country Club Rd.","Cheshire","06410","Naugatuck Valley","1.5","0.0","1.5"
"Cheshire Academy","Non-public","10 Main Street","Cheshire","06410","Naugatuck Valley","0.0","0.5","0.5"
"Cheshire High School","Public","525 South Main St.","Cheshire","06410","Naugatuck Valley","2.0","0.1","2.1"
"Darcey School","Public","1686 Waterbury Rd.","Cheshire","06410","Naugatuck Valley","0.0","0.0","0.0"
"Dodd Middle School","Public","100 Park Place","Cheshire","06410","Naugatuck Valley","3.9","0.6","4.5"
"Doolittle School","Public","735 Cornwall Ave.","Cheshire","06410","Naugatuck Valley","0.4","0.0","0.4"
"Highland School","Public","490 Highland Ave.","Cheshire","06410","Naugatuck Valley","0.7","0.1","0.9"
"Humiston Alternative School","Non-public","30 Spring Street","Cheshire","06410","Naugatuck Valley","DS","DS","DS"
"Norton School","Public","414 North Brooksvale Rd.","Cheshire","06410","Naugatuck Valley","0.7","0.0","0.7"
"St. Bridget School-Cheshire","Non-public","171 Main Street","Cheshire","06410","Naugatuck Valley","3.1","0.8","3.8"
"Chester Elementary School","Public","23 Ridge Rd.","Chester","06412","Lower CT River Valley","2.6","0.0","2.6"
"Jared Eliot School","Public","69 Fairy Dell Rd.","Clinton","06413","Lower CT River Valley","0.9","0.0","0.9"
"Lewin G. Joel Jr. School","Public","137A Glenwood Rd.","Clinton","06413","Lower CT River Valley","0.0","0.0","0.0"
"The Morgan School","Public","71 Killingworth Tpke.","Clinton","06413","Lower CT River Valley","0.9","0.0","0.9"
"Bacon Academy","Public","611 Norwich Ave.","Colchester","06415","Southeastern CT","2.0","0.5","2.5"
"Colchester Elementary School","Public","315 Halls Hill Rd.","Colchester","06415","Southeastern CT","0.0","1.0","1.0"
"Jack Jackter Intermediate School","Public","215 Halls Hill Rd.","Colchester","06415","Southeastern CT","3.0","0.8","3.8"
"William J. Johnston Middle School","Public","360 Norwich Ave.","Colchester","06415","Southeastern CT","5.9","0.4","6.4"
"Colebrook Consolidated School","Public","452 Smith Hill Road","Colebrook","06021","Northwest Hills","0.0","0.0","0.0"
"Bridges Community School","Public","10 Commerce Ave","Columbia","06237","Capitol","DNC","DNC","DNC"
"Horace W. Porter School","Public","3 Schoolhouse Road","Columbia","06237","Capitol","2.7","0.0","2.7"
"Cornwall Consolidated School","Public","5 Cream Hill Rd.","Cornwall","06796","Northwest Hills","3.2","1.1","4.3"
"Capt. Nathan Hale School","Public","1776 Main Street","Coventry","06238","Capitol","1.6","0.3","1.9"
"Coventry Grammar School","Public","3453 Main Street","Coventry","06238","Capitol","0.0","0.0","0.0"
"Coventry High School/Coventry Academy","Public","78 Ripley Hill Road","Coventry","06238","Capitol","2.0","0.0","2.0"
"George Hersey Robertson School","Public","227 Cross Street","Coventry","06238","Capitol","1.8","0.3","2.1"
"Hale Early Education Center","Public","1776 Main Street","Coventry","06238","Capitol","0.0","0.0","0.0"
"Bethany Lutheran Nursery School","Non-public","50 Court Street","Cromwell","06416","Lower CT River Valley","0.0","0.0","0.0"
"Cromwell High School","Public","1 Donald Harris Dr.","Cromwell","06416","Lower CT River Valley","2.2","0.2","2.4"
"Cromwell Middle School","Public","6 Captain James Mann Memorial Dr.","Cromwell","06416","Lower CT River Valley","2.5","0.0","2.5"
"Edna C. Stevens School","Public","25 Court St.","Cromwell","06416","Lower CT River Valley","0.0","0.8","0.8"
"Woodside Intermediate School","Public","30 Woodside Rd.","Cromwell","06416","Lower CT River Valley","3.0","0.0","3.0"
"Alternative Center For Excellence","Non-public","26 Locust Ave.","Danbury","06810","Western CT","0.0","0.0","0.0"
"B.E.A.M Elementary School","Non-public","103 Miry Brook Road","Danbury","06810","Western CT","DS","DS","DS"
"Broadview Middle School","Public","72 Hospital Ave.","Danbury","06810","Western CT","0.3","0.0","0.3"
"Danbury Early Childhood Center Cottage St.","Non-public","17 Cottage Street","Danbury","06810","Western CT","0.0","0.0","0.0"
"Danbury High School","Public","43 Clapboard Ridge Rd.","Danbury","06811","Western CT","0.6","0.0","0.7"
"Danbury High School West","Public","40 Apple Ridge Road","Danbury","06810","Western CT","0.6","0.2","0.8"
"DPS Early Childhood Center at Granville","Public","14 Granville Avenue","Danbury","06810","Western CT","0.0","0.0","0.0"
"Ellsworth Avenue School","Public","53 Ellsworth Ave","Danbury","06810","Western CT","0.0","0.0","0.0"
"Endeavor","Public","10-12 Crosby Street","Danbury","06810","Western CT","DS","DS","DS"
"Great Plain School","Public","10 Stadley Rough Rd.","Danbury","06811","Western CT","0.0","0.0","0.0"
"Hayestown Avenue School","Public","42 Tamarack Ave.","Danbury","06811","Western CT","0.0","0.0","0.0"
"Henry Abbott Technical High School","Public","21 Hayestown Ave.","Danbury","06811","Western CT","0.8","0.0","0.8"
"Hudson Country Montessori","Non-public","44A Shelter Rock Road","Danbury","06810","Western CT","3.6","1.8","5.4"
"Immaculate High School","Non-public","73 Southern Boulevard","Danbury","06810","Western CT","7.3","0.5","7.8"
"Immanuel Lutheran-Danbury","Non-public","18 Clapboard Ridge Road","Danbury","06811","Western CT","3.7","1.9","5.6"
"King Street Intermediate School","Public","151 South King St.","Danbury","06811","Western CT","1.0","0.0","1.0"
"King Street Primary School","Public","151 South King St.","Danbury","06811","Western CT","0.0","0.0","0.0"
"Mill Ridge Primary School","Public","49A High Ridge Rd.","Danbury","06811","Western CT","0.0","0.0","0.0"
"Morris Street School","Public","28 Morris St.","Danbury","06810","Western CT","0.0","0.0","0.0"
"Park Avenue School","Public","82 Park Ave.","Danbury","06810","Western CT","0.0","0.2","0.2"
"Pembroke School","Public","34 1/2 Pembroke Rd.","Danbury","06811","Western CT","0.0","0.0","0.0"
"Rogers Park Middle School","Public","21 Memorial Dr.","Danbury","06810","Western CT","0.4","0.0","0.4"
"Shelter Rock School","Public","2 Crows Nest Rd.","Danbury","06810","Western CT","0.0","0.0","0.0"
"South Street School","Public","129 South St.","Danbury","06810","Western CT","0.3","0.0","0.3"
"St. Gregory The Great","Non-public","85 Great Plain Road","Danbury","06811","Western CT","2.4","0.0","2.4"
"St. Joseph School-Danbury","Non-public","370 Main Street","Danbury","06810","Western CT","3.5","1.3","4.8"
"St. Peter Sacred Heart School","Non-public","98 Main Street","Danbury","06810","Western CT","0.0","0.0","0.0"
"Stadley Rough School","Public","25 Karen Rd.","Danbury","06811","Western CT","0.0","0.0","0.0"
"Western CT Academy of International Studies Elementary Magnet School","Public","201 University Blvd.","Danbury","06810","Western CT","1.4","0.3","1.7"
"Westside Middle School Academy","Public","1 School Ridge Road","Danbury","06811","Western CT","0.5","0.0","0.5"
"Wooster School","Non-public","91 Miry Brook Road","Danbury","06810","Western CT","DNC","DNC","DNC"
"Cross Street Academy","Non-public","80 Christie Hill Rd","Darien","06820","Western CT","DNC","DNC","DNC"
"Darien High School","Public","80 High School Ln.","Darien","06820","Western CT","1.6","0.2","1.8"
"Hindley Elementary School","Public","10 Nearwater Ln.","Darien","06820","Western CT","1.0","0.2","1.2"
"Holmes Elementary School","Public","18 Hoyt St.","Darien","06820","Western CT","0.0","0.0","0.0"
"Middlesex Middle School","Public","204 Hollow Tree Ridge Rd.","Darien","06820","Western CT","1.7","0.4","2.1"
"Ox Ridge Elementary School","Public","395 Mansfield Ave.","Darien","06820","Western CT","0.3","0.0","0.3"
"Royle Elementary School","Public","133 Mansfield Ave.","Darien","06820","Western CT","0.5","0.3","0.8"
"Tokeneke Elementary School","Public","7 Old Farm Rd.","Darien","06820","Western CT","0.7","0.0","0.7"
"Connecticut Coastal Academy","Non-public","141 Main Street","Deep River","06417","Lower CT River Valley","DNC","DNC","DNC"
"Deep River Elementary School","Public","12 River St.","Deep River","06417","Lower CT River Valley","0.0","0.0","0.0"
"John Winthrop Middle School","Public","1 Winthrop Road","Deep River","06417","Lower CT River Valley","4.6","0.0","4.6"
"Steward Outdoor School","Non-public","253 Bushy Hill Rd","Deep River","06417","Lower CT River Valley","DS","DS","DS"
"Valley Regional High School","Public","256 Kelsey Hill Rd.","Deep River","06417","Lower CT River Valley","2.7","0.0","2.7"
"Bradley School","Public","155 David Humphreys Rd.","Derby","06418","Naugatuck Valley","1.2","0.0","1.2"
"Derby High School","Public","75 Chatfield Street","Derby","06418","Naugatuck Valley","0.3","0.0","0.3"
"Derby Middle School","Public","73 Chatfield Street","Derby","06418","Naugatuck Valley","1.0","0.0","1.0"
"Irving School","Public","9 Garden Place","Derby","06418","Naugatuck Valley","0.3","0.0","0.3"
"Little Raiders University","Public","75 Chatfield Street","Derby","06418","Naugatuck Valley","0.0","2.5","2.5"
"RAISE Academy","Non-public","75 Chatfield Street","Derby","06418","Naugatuck Valley","DS","DS","DS"
"St. Mary - St. Michael","Non-public","14 Seymour Avenue","Derby","06418","Naugatuck Valley","1.3","5.2","6.5"
"Coginchaug Regional High School","Public","135 Pickett Ln.","Durham","06422","Lower CT River Valley","3.2","0.0","3.2"
"Frank Ward Strong School","Public","191 Main Street","Durham","06422","Lower CT River Valley","3.4","0.0","3.4"
"Frederick Brewster School","Public","126 Tuttle Rd.","Durham","06422","Lower CT River Valley","0.0","0.5","0.5"
"Yeshiva Gedolah of Waterbury- Mesivta Durham","Non-public","459 Wallingford Rd","Durham","06422","Lower CT River Valley","1.3","0.0","1.3"
"Allgrove School","Public","33 Turkey Hills Rd.","East Granby","06026","Capitol","0.0","1.5","1.5"
"East Granby High School","Public","95 South Main St.","East Granby","06026","Capitol","1.2","0.0","1.2"
"East Granby Middle School","Public","95 South Main St.","East Granby","06026","Capitol","1.5","0.5","1.9"
"R. Dudley Seymour School","Public","185 Hartford Ave.","East Granby","06026","Capitol","0.0","0.0","0.0"
"East Haddam Elementary School","Public","45 Joe Williams Rd.","East Haddam","06469","Lower CT River Valley","0.3","0.9","1.2"
"Franklin Academy","Non-public","140 River Rd.","East Haddam","06423","Lower CT River Valley","DNC","DNC","DNC"
"Nathan Hale-Ray High School","Public","15 School Drive","East Haddam","06469","Lower CT River Valley","5.0","0.0","5.0"
"Nathan Hale-Ray Middle School","Public","73 Clark Gates Rd.","East Haddam","06469","Lower CT River Valley","3.9","0.8","4.7"
"Center School","Public","7 Summit St.","East Hampton","06424","Lower CT River Valley","2.6","0.4","3.0"
"East Hampton High School","Public","15 North Maple St.","East Hampton","06424","Lower CT River Valley","3.0","0.6","3.7"
"East Hampton Middle School","Public","19 Childs Rd.","East Hampton","06424","Lower CT River Valley","1.6","1.3","2.9"
"East Hampton Nursery School","Non-public","111 main st","East Hampton","06424","Lower CT River Valley","0.0","0.0","0.0"
"Memorial School","Public","20 Smith St.","East Hampton","06424","Lower CT River Valley","0.4","0.4","0.8"
"Academy of Computer Science and Engineering Middle School","Non-public","337 East River Dr.","East Hartford","06108","Capitol","0.3","0.0","0.3"
"Anna E. Norris School","Public","40 Remington Rd.","East Hartford","06108","Capitol","0.0","0.0","0.0"
"Conecticut Education Center","Public","50 Chapman Pl #1416","East Hartford","06108","Capitol","DS","DS","DS"
"Connecticut IB Academy","Public","857 Forbes St.","East Hartford","06118","Capitol","2.5","0.5","3.0"
"Connecticut River Academy at Goodwin University","Non-public","9 Riverside Drive","East Hartford","06118","Capitol","0.2","0.2","0.4"
"Connecticut River Academy at Goodwin University 6-8","Non-public","9 Riverside Drive","East Hartford","06118","Capitol","0.8","0.0","0.8"
"Dr. Franklin H. Mayberry School","Public","101 Great Hill Rd.","East Hartford","06108","Capitol","0.0","0.0","0.0"
"Dr. John A. Langford School","Public","61 Alps Dr.","East Hartford","06108","Capitol","0.0","0.7","0.7"
"Dr. Thomas S. O'Connell School 3-5","Public","305 May Rd.","East Hartford","06118","Capitol","2.2","0.4","2.5"
"Dr. Thomas S. O'Connell School K-2","Public","305 May Rd.","East Hartford","06118","Capitol","0.0","0.0","0.0"
"East Hartford High School","Public","869 Forbes St.","East Hartford","06118","Capitol","1.0","0.1","1.1"
"East Hartford Middle School","Public","777 Burnside Ave.","East Hartford","06108","Capitol","1.4","0.1","1.5"
"Governor William Pitkin School","Public","330 Hills St.","East Hartford","06118","Capitol","0.3","0.0","0.3"
"Hockanum School","Non-public","191 Main Street","East Hartford","06422","Capitol","0.0","0.0","0.0"
"John J. Allison Polaris Center","Non-public","474 School St.","East Hartford","06108","Capitol","0.0","0.0","0.0"
"Joseph O. Goodwin School","Public","1235 Forbes St.","East Hartford","06118","Capitol","0.3","0.0","0.3"
"Pathways Academy of Technology and Design","Public","2 Pent Road","East Hartford","06118","Capitol","0.6","0.0","0.6"
"Riverside Magnet School at Goodwin University","Non-public","29 Willowbrook Road","East Hartford","06118","Capitol","0.6","0.0","0.6"
"RiverTech at Goodwin University","Non-public","6 Pent Road","East Hartford","06118","Capitol","1.1","0.0","1.1"
"Robert J. O'Brien School","Public","56 Farm Dr.","East Hartford","06108","Capitol","0.0","0.3","0.3"
"Silver Lane School","Public","15 Mercer Ave.","East Hartford","06118","Capitol","0.0","0.0","0.0"
"Sunset Ridge Middle School","Public","450 Forbes St.","East Hartford","06118","Capitol","1.2","0.6","1.8"
"Synergy Alternative Program","Non-public","40 Butternut Dr.","East Hartford","06118","Capitol","0.0","0.0","0.0"
"Woodland School","Public","110 Long Hill Dr.","East Hartford","06108","Capitol","1.5","4.4","5.9"
"Carbone School/East Haven Academy","Public","200 Tyler St.","East Haven","06512","South Central","0.0","0.0","0.0"
"Deer Run School","Public","311 Foxon Rd.","East Haven","06512","South Central","0.0","0.0","0.0"
"Dominick H. Ferrara School","Public","22 Maynard Rd.","East Haven","06512","South Central","0.6","0.6","1.3"
"East Haven High School","Public","35 Wheelbarrow Ln.","East Haven","06513","South Central","0.5","0.0","0.5"
"Grove J. Tuttle School","Public","108 Prospect St.","East Haven","06512","South Central","0.0","0.0","0.0"
"Joseph Melillo Middle School","Public","67 Hudson St.","East Haven","06512","South Central","0.0","0.0","0.0"
"Momauguin School","Public","99 Cosey Beach Rd.","East Haven","06512","South Central","0.0","0.4","0.4"
"Prism Academy","Non-public","35 Bishop Street","East Haven","06513","South Central","DNC","DNC","DNC"
"East Lyme High School","Public","30 Chesterfield Rd.","East Lyme","06333","Southeastern CT","0.6","0.1","0.7"
"East Lyme Middle School","Public","31 Society Rd.","East Lyme","06357","Southeastern CT","2.0","0.4","2.4"
"Flanders School","Public","167 Boston Post Rd.","East Lyme","06333","Southeastern CT","1.7","0.0","1.7"
"Integrated Preschool","Public","29 society rd","East Lyme","06357","Southeastern CT","0.0","0.0","0.0"
"Lillie B. Haynes School","Public","29 Society Rd.","East Lyme","06357","Southeastern CT","0.5","0.3","0.8"
"Niantic Center School","Public","7 West Main St.","East Lyme","06357","Southeastern CT","0.6","0.0","0.6"
"The Light House Learning Campus","Non-public","15 Liberty Way","East Lyme","06357","Southeastern CT","2.6","0.0","2.6"
"Broad Brook Elementary School","Public","14 Rye St.","East Windsor","06016","Capitol","0.5","0.2","0.7"
"East Windsor High School","Public","76 South Main St.","East Windsor","06088","Capitol","2.4","0.4","2.8"
"East Windsor Middle School","Public","38 Main St.","East Windsor","06016","Capitol","5.0","0.0","5.0"
"Eastford Elementary School","Public","12 Westford Road","Eastford","06242","Northeast CT","3.1","0.6","3.7"
"Easton Country Day School","Non-public","660 Morehouse Rd.","Easton","06612","Greater Bridgeport","4.9","0.0","4.9"
"Helen Keller Middle School","Public","360 Sport Hill Rd.","Easton","06612","Greater Bridgeport","5.8","0.0","5.8"
"Samuel Staples Elementary School","Public","515 Morehouse Road","Easton","06612","Greater Bridgeport","1.5","1.6","3.1"
"The Speech Academy-Easton","Non-public","656 Morehouse Road","Easton","06612","Greater Bridgeport","DS","DS","DS"
"BASES 89","Public","89 west rd","Ellington","06029","Capitol","0.0","0.0","0.0"
"Center Elementary School","Public","49 Main St.","Ellington","06029","Capitol","1.9","0.9","2.8"
"Crystal Lake School","Public","59 South Road","Ellington","06029","Capitol","1.0","0.3","1.4"
"Ellington High School","Public","37 Maple St.","Ellington","06029","Capitol","3.5","0.0","3.5"
"Ellington Middle School","Public","46 Middle Butcher Rd.","Ellington","06029","Capitol","1.9","0.2","2.2"
"Windermere School","Public","2 Abbott Rd.","Ellington","06029","Capitol","1.3","0.2","1.4"
"Academy of Computer Science and Engineering","Non-public","1617 King Street","Enfield","06082","Capitol","DNC","DNC","DNC"
"Connecticut Education Center","Non-public","1370 Enfield Street","Enfield","06082","Capitol","DS","DS","DS"
"Eagle Academy","Non-public","1270 Enfield Street","Enfield","06082","Capitol","DS","DS","DS"
"Edgar H. Parkman School","Public","165 Weymouth Rd.","Enfield","06082","Capitol","0.3","0.3","0.7"
"Eli Whitney School","Public","94 Middle Rd.","Enfield","06082","Capitol","0.0","0.0","0.0"
"Enfield High School","Public","1264 Enfield St.","Enfield","06082","Capitol","0.7","0.1","0.8"
"Enfield Montessori School","Non-public","1325 Enfield Street","Enfield","06082","Capitol","1.0","0.0","1.0"
"Enfield Street School","Public","1318 Enfield St.","Enfield","06082","Capitol","0.0","0.0","0.0"
"Hazardville Memorial School","Public","68 North Maple St.","Enfield","06082","Capitol","0.0","0.6","0.6"
"Henry Barnard School","Public","27 Shaker Rd.","Enfield","06082","Capitol","0.0","0.3","0.3"
"John F. Kennedy Middle School","Public","155 Raffia Rd.","Enfield","06082","Capitol","1.3","0.1","1.5"
"Little Angels Catholic Pre-School","Non-public","424 Hazard Avenue","Enfield","06082","Capitol","0.0","1.9","1.9"
"Natchaug Hospital School Joshua Center-Enfield","Non-public","72 Shaker Road","Enfield","06082","Capitol","DS","DS","DS"
"Prudence Crandall School","Public","150 Brainard Rd.","Enfield","06082","Capitol","1.4","0.3","1.7"
"St. Bernard School-Enfield","Non-public","232 Pearl Street","Enfield","06082","Capitol","0.6","0.0","0.6"
"Stowe Early Learning Center","Non-public","117 Post Office Road","Enfield","06082","Capitol","0.0","0.0","0.0"
"Essex Elementary School","Public","108 Main St.","Essex","06409","Lower CT River Valley","1.3","0.6","1.9"
"Assumption Catholic School","Non-public","605 Stratfield Road","Fairfield","06825","Greater Bridgeport","0.5","0.0","0.5"
"Burr Elementary School","Public","1960 Burr St.","Fairfield","06824","Greater Bridgeport","0.6","0.6","1.1"
"Covenant School of Bridgeport","Non-public","140 Edison Ave","Fairfield","06825","Greater Bridgeport","0.0","0.0","0.0"
"Dwight Elementary School","Public","1600 Redding Rd.","Fairfield","06824","Greater Bridgeport","0.9","0.4","1.3"
"Early Childhood Center","Non-public","755 Melville Ave.","Fairfield","06825","Greater Bridgeport","0.0","0.9","0.9"
"Fairfield College Preparatory School","Non-public","1073 North Benson Road","Fairfield","06824","Greater Bridgeport","3.8","0.4","4.2"
"Fairfield Country Day School","Non-public","2970 Bronson Road","Fairfield","06824","Greater Bridgeport","3.5","0.0","3.5"
"Fairfield Ludlowe High School","Public","785 Unquowa Rd.","Fairfield","06824","Greater Bridgeport","1.7","0.0","1.7"
"Fairfield Warde High School","Public","755 Melville Ave.","Fairfield","06825","Greater Bridgeport","2.6","0.7","3.3"
"Fairfield Woods Middle School","Public","1115 Fairfield Woods Rd.","Fairfield","06824","Greater Bridgeport","3.5","0.3","3.8"
"Fusion Academy Fairfield","Non-public","777 Commerce Drive","Fairfield","06824","Greater Bridgeport","DS","DS","DS"
"Great Beginnings Montessori School","Non-public","148 Beach Road","Fairfield","06824","Greater Bridgeport","DNC","DNC","DNC"
"Holland Hill School","Public","105 Meadowcroft Road","Fairfield","06824","Greater Bridgeport","0.9","0.2","1.2"
"Hunt Ridge Montessori","Non-public","834 Brookside Dr","Fairfield","06824","Greater Bridgeport","0.0","0.0","0.0"
"Jennings School","Public","31 Palm Dr.","Fairfield","06824","Greater Bridgeport","0.7","1.1","1.8"
"McKinley School","Public","60 Thompson St.","Fairfield","06825","Greater Bridgeport","0.2","0.2","0.4"
"Mill Hill School","Public","635 Mill Hill Terrace","Fairfield","06890","Greater Bridgeport","0.0","0.8","0.8"
"North Stratfield School","Public","190 Putting Green Rd.","Fairfield","06825","Greater Bridgeport","0.0","0.0","0.0"
"Notre Dame Prep of Sacred Heart University","Non-public","220 Jefferson Street","Fairfield","06825","Greater Bridgeport","2.5","0.0","2.5"
"Osborn Hill School","Public","760 Stillson Rd.","Fairfield","06824","Greater Bridgeport","0.0","0.2","0.2"
"Riverfield School","Public","1625 Mill Plain Rd.","Fairfield","06824","Greater Bridgeport","0.5","0.5","0.9"
"Roger Ludlowe Middle School","Public","689 Unquowa Rd.","Fairfield","06824","Greater Bridgeport","4.1","0.5","4.6"
"Sherman School","Public","250 Fern St.","Fairfield","06824","Greater Bridgeport","1.1","0.3","1.3"
"St. Catherine Academy","Non-public","760 Tahmore Drive","Fairfield","06825","Greater Bridgeport","DS","DS","DS"
"St. Thomas Aquinas Catholic School","Non-public","1719 Post Road","Fairfield","06824","Greater Bridgeport","1.5","0.9","2.5"
"Stratfield School","Public","1407 Melville Ave.","Fairfield","06825","Greater Bridgeport","0.5","0.8","1.4"
"The Southport School","Non-public","214 Main Street","Fairfield","06890","Greater Bridgeport","3.5","0.0","3.5"
"The Unquowa School","Non-public","981 Stratfield Road","Fairfield","06825","Greater Bridgeport","3.8","0.8","4.5"
"Tomlinson Middle School","Public","200 Unquowa Rd.","Fairfield","06824","Greater Bridgeport","1.6","0.3","1.9"
"Walter Fitzgerald Campus","Non-public","309 Barberry Road","Fairfield","06890","Greater Bridgeport","7.7","0.0","7.7"
"East Farms School","Public","25 Wolf Pit Rd.","Farmington","06032","Capitol","0.3","0.5","0.8"
"Farmington High School","Public","10 Monteith Dr","Farmington","06032","Capitol","2.1","0.2","2.3"
"Irving A. Robbins Middle School","Public","20 Wolf Pit Rd.","Farmington","06032","Capitol","2.5","0.4","2.9"
"Miss Porter's School","Non-public","60 Main Street","Farmington","06032","Capitol","0.0","0.0","0.0"
"Noah Wallace School","Public","2 School St.","Farmington","06032","Capitol","0.3","0.0","0.3"
"Union School","Public","173 School St.","Farmington","06085","Capitol","0.0","0.3","0.3"
"West District School","Non-public","114 West District Road","Farmington","06085","Capitol","0.0","0.3","0.3"
"West Woods Upper Elementary School","Public","50 Judson Ln.","Farmington","06032","Capitol","1.8","0.5","2.3"
"Franklin Elementary School","Public","206 Pond Rd.","Franklin","06254","Southeastern CT","6.2","0.0","6.2"
"Buttonball Lane School","Public","376 Buttonball Ln.","Glastonbury","06033","Capitol","0.3","0.8","1.0"
"Eastbury Programs","Non-public","1389 Neipsic Road","Glastonbury","06033","Capitol","1.2","0.0","1.2"
"Gideon Welles School","Public","1029 Neipsic Rd.","Glastonbury","06033","Capitol","1.1","0.5","1.6"
"Glastonbury High School","Public","330 Hubbard St.","Glastonbury","06033","Capitol","2.3","0.0","2.3"
"Glastonbury/East Hartford Magnet School","Public","95 Oak Street","Glastonbury","06033","Capitol","0.2","0.4","0.7"
"Hebron Avenue School","Public","1363 Hebron Avenue","Glastonbury","06033","Capitol","0.6","0.4","1.1"
